Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Petras         Zukauskas      5    7    2    7    1    9    7    1    10   10   3         
Antanas        Kazlauskas     3    2    1    6    6    9    5    3    4    8    8         
Marius         Petraitis      9    9    10   5    2    7    1    3    4    4    1         
Marius         Kazlauskas     3    10   5    4    7    3    2    2    8    7    9         
Tomas          Zukauskas      5    1    1    5    4    10   5    7    8    8    3         
Darius         Kavaliauskas   7    5    3    1    5    10   6    9    3    2    1         
Tomas          Stankevicius   6    5    5    6    4    5    4    10   3    5    6         
Antanas        Brazinskas     10   8    1    2    8    5    9    8    6    7    7         
Darius         Kazlauskas     3    4    2    5    2    2    2    6    10   10   6         
Marius         Zukauskas      3    10   4    9    8    8    8    6    6    4    1         
Paulius        Stankevicius   1    2    9    9    9    7    6    10   2    9    5         
Antanas        Jonaitis       9    3    7    3    4    7    6    6    3    9    7         
Darius         Kavaliauskas   4    4    4    8    6    2    1    6    2    8    10        
Paulius        Stankevicius   9    1    6    6    9    4    6    5    1    2    9         
Mantas         Kavolis        3    3    10   10   3    7    3    8    3    10   8         
Jonas          Jonaitis       8    9    1    7    7    3    10   4    3    3    3         
Petras         Zukauskas      6    3    4    5    5    10   5    10   3    10   9         
Antanas        Jankauskas     3    6    7    1    6    10   5    4    3    3    1         
Kazys          Kavaliauskas   9    1    3    7    6    8    2    7    5    2    5         
Darius         Petraitis      1    2    2    5    4    5    9    3    4    7    5         
Lukas          Jankauskas     8    6    3    8    7    6    2    8    3    3    5         
Mantas         Kazlauskas     7    4    5    6    2    8    7    8    8    5    3         
Marius         Kavolis        5    6    8    2    6    9    9    6    8    4    2         
Darius         Jonaitis       4    7    2    6    2    5    9    2    4    5    7         
Darius         Zukauskas      5    6    6    2    4    6    1    3    1    2    1         
Kazys          Petraitis      2    1    6    10   1    10   7    6    10   7    5         
Paulius        Kazlauskas     10   4    10   9    8    2    6    8    10   9    8         
Darius         Brazinskas     6    7    1    2    2    8    4    4    3    7    1         
Darius         Jankauskas     9    1    9    4    10   3    5    8    7    6    6         
Paulius        Kazlauskas     9    8    3    5    7    5    2    2    9    7    8         
Paulius        Kavaliauskas   4    2    3    6    2    6    9    9    4    3    10        
Kazys          Jankauskas     8    1    4    6    7    10   4    3    9    2    3         
Darius         Kavaliauskas   9    7    1    5    9    9    1    4    4    1    7         
Darius         Petraitis      7    10   10   4    1    2    5    1    8    2    8         
Kazys          Stankevicius   6    4    7    8    6    7    4    7    4    7    10        
Petras         Jankauskas     1    3    4    3    3    5    2    2    4    10   10        
Lukas          Petraitis      5    9    7    10   7    4    4    3    1    6    7         
Marius         Kazlauskas     10   8    8    1    7    9    3    4    5    9    5         
Petras         Kavaliauskas   7    6    10   8    2    7    6    3    7    7    10        
Jonas          Petraitis      10   6    6    10   10   8    4    1    10   1    10        
Jonas          Jonaitis       1    10   4    1    8    3    5    3    6    9    8         
Darius         Stankevicius   10   5    9    3    5    4    9    7    7    9    3         
Mantas         Kazlauskas     6    9    9    5    7    2    9    6    7    4    5         
Jonas          Zukauskas      1    4    7    6    4    3    6    3    9    5    8         
Jonas          Kavaliauskas   2    9    9    9    4    2    3    5    3    8    1         
Paulius        Stankevicius   8    1    5    1    8    9    2    6    3    7    6         
Antanas        Zukauskas      2    8    4    4    2    7    1    6    9    6    1         
Lukas          Zukauskas      4    5    8    5    2    4    6    4    2    2    9         
Petras         Brazinskas     3    10   2    3    10   3    1    2    6    2    2         
Antanas        Kavolis        4    2    6    5    9    6    4    7    8    2    3         
Jonas          Zukauskas      9    3    10   3    10   7    1    6    2    6    2         
Jonas          Zukauskas      4    5    7    8    10   5    5    5    8    4    10        
Marius         Kazlauskas     5    8    4    5    9    8    8    3    3    8    2         
Paulius        Zukauskas      3    8    9    7    8    1    3    5    1    2    6         
Antanas        Zukauskas      8    5    2    8    5    3    4    4    10   5    3         
Mantas         Kavolis        7    7    10   1    9    4    4    7    10   7    2         
Kazys          Brazinskas     3    10   2    4    4    10   4    1    5    2    9         
Paulius        Petraitis      5    1    2    6    7    5    9    1    4    4    9         
Tomas          Petraitis      7    10   5    2    7    9    10   5    5    3    7         
Marius         Jonaitis       9    9    6    4    8    2    5    4    4    2    10        
Petras         Jankauskas     7    4    10   6    7    8    5    8    3    2    6         
Marius         Stankevicius   2    4    1    2    1    1    8    2    3    7    4         
Tomas          Jonaitis       8    2    10   1    10   1    7    4    8    9    7         
Antanas        Stankevicius   2    1    10   6    6    10   3    7    9    2    1         
Jonas          Zukauskas      6    3    1    1    5    9    8    7    8    5    9         
Darius         Stankevicius   5    2    9    4    7    3    1    5    7    5    7         
Paulius        Jonaitis       5    10   9    9    6    6    8    10   2    8    9         
Kazys          Kazlauskas     7    4    8    2    8    1    3    7    4    7    9         
Marius         Jonaitis       5    7    3    2    4    4    10   9    10   9    10        
Marius         Kavaliauskas   9    3    5    2    3    2    6    2    2    9    8         
Antanas        Jankauskas     1    5    6    1    9    3    3    9    3    8    2         
Petras         Brazinskas     4    5    4    1    5    7    8    5    2    3    5         
Mantas         Petraitis      4    6    5    4    5    5    6    8    7    1    10        
Jonas          Jonaitis       9    6    4    6    6    1    5    9    4    6    8         
Lukas          Petraitis      1    4    4    4    3    5    2    6    6    5    10        
Antanas        Petraitis      4    2    7    10   1    10   5    10   4    3    6         
Tomas          Kazlauskas     6    1    7    7    3    6    2    2    2    9    9         
Tomas          Stankevicius   4    7    10   3    8    5    4    7    2    8    7         
Petras         Jankauskas     5    10   3    2    5    9    9    2    9    9    3         
Kazys          Kavaliauskas   10   4    10   10   5    1    10   7    1    8    8         
Tomas          Stankevicius   8    8    3    5    9    6    2    4    7    4    1         
Mantas         Kavolis        6    6    3    1    2    1    7    4    1    1    1         
Antanas        Petraitis      3    5    2    6    8    1    5    3    2    4    1         
Paulius        Kavolis        7    6    7    10   4    4    9    10   8    5    2         
Kazys          Jankauskas     9    9    5    3    6    10   2    10   9    6    8         
Paulius        Jankauskas     2    4    3    10   6    1    9    8    2    5    7         
Darius         Brazinskas     8    2    6    10   1    7    2    8    7    3    8         
Antanas        Brazinskas     1    9    8    10   1    3    6    4    7    6    4         
Lukas          Kavaliauskas   7    1    5    10   7    4    7    9    10   4    6         
Antanas        Zukauskas      9    1    9    7    4    7    7    8    3    1    4         
Jonas          Petraitis      9    9    5    1    2    8    7    8    9    10   2         
Marius         Jankauskas     2    2    1    10   3    8    6    4    7    5    3         
Petras         Stankevicius   9    5    9    5    4    7    2    1    9    3    3         
Paulius        Petraitis      6    4    6    9    2    6    2    3    2    5    5         
Tomas          Brazinskas     10   9    4    5    5    7    4    6    8    4    3         
